compute_flops,n_params,n_tokens,hex_color,loss_colorbar_raw,loss_colorbar_cal,colorbar_rgb_dist
9.847050634812123e+20,1688581963,97192504834,#5c1e51,2.30226,2.30305,0.611
9.899211962661368e+20,4406682750,37440150650,#601f52,2.31613,2.31689,0.677
9.947949397311285e+20,4406682750,37624482181,#5c1e51,2.30226,2.30305,0.611
1.0124274250469546e+21,9068351131,18607341261,#661f54,2.35824,2.35891,0.416
1.0141494439717718e+21,12264973779,13781106293,#701f57,2.41558,2.41613,0.163
1.0149841194760764e+21,11174796670,15137995340,#6e1f57,2.40112,2.40169,0.437
1.2936442053465795e+21,2907326027,74160023861,#581e4f,2.27477,2.27562,0.655
1.2968269395967837e+21,1688579332,127999803853,#591e50,2.28161,2.28245,0.273
1.4993699552177333e+21,1958023099,127626171832,#561e4f,2.26114,2.26203,0.25
1.57977621803016e+21,6631107227,39706194958,#5b1e51,2.28847,2.2893,0.604
1.7952944398483482e+21,2227468017,134329982627,#531e4d,2.2476,2.24852,0.605
1.9868261826502546e+21,4406686183,75144379092,#531e4d,2.2476,2.24852,0.605
2.308452843731562e+21,2574680612,149432958333,#4e1d4b,2.22076,2.22174,0.367
2.4421278955911024e+21,9068351131,44883718113,#541e4e,2.25436,2.25526,0.377
2.621383688404444e+21,2907321497,150274842937,#4c1d4b,2.20747,2.20847,0.599
2.8763671050939133e+21,9068351131,52864573788,#511e4d,2.23414,2.23509,0.566
2.877881851742459e+21,6631107227,72332863710,#4b1d4a,2.20085,2.20186,0.312
2.9292620535176354e+21,15792027039,30914989003,#591e50,2.28161,2.28245,0.273
2.9455365718847516e+21,2907326027,168857141363,#4c1d4b,2.20747,2.20847,0.599
2.956220190617421e+21,2574684624,191364550277,#4b1d4a,2.20085,2.20186,0.312
2.9745797168221163e+21,12264973779,40421063678,#561e4f,2.26114,2.26203,0.25
2.98906954837196e+21,4406682750,113050629299,#4b1d4a,2.20085,2.20186,0.312
3.019612464712223e+21,11174796670,45036053808,#561e4f,2.26114,2.26203,0.25
3.221331080472251e+21,6631112393,80965075180,#4b1d4a,2.20085,2.20186,0.312
5.032012360394865e+21,9068358196,92482973060,#461c48,2.17457,2.17564,0.543
1.2957787002989906e+22,6631107227,325681834609,#34193d,2.07255,2.07385,0.521
