source,compute_flops,n_params,n_tokens,hex_color,loss_colorbar_cal,loss_epoch_ai
chinchilla_fig4_left,8.997271011427293e+18,211455768.46389404,7091531148.403086,#c41753,2.91348,2.949663448686964
chinchilla_fig4_left,9.3531604250889e+18,170688206.58374378,9132793073.687462,#c21753,2.90453,2.940838357413416
chinchilla_fig4_left,9.076236013119573e+18,136340137.73857543,11095089291.219028,#c71951,2.94051,2.976297938663035
chinchilla_fig4_left,8.704589419546993e+18,103236754.31425814,14052794597.180254,#ca1a50,2.96779,2.998680336233436
chinchilla_fig4_left,1.6882492326602908e+19,476679764.63736165,5902807146.095385,#b41658,2.79912,2.836974331044393
chinchilla_fig4_left,1.939433860666183e+19,539065173.0219358,5996287516.881448,#af1759,2.76482,2.803174649739657
chinchilla_fig4_left,2.062731238682003e+19,496872093.57709855,6919055109.441137,#ad1759,2.7563,2.790606978320643
chinchilla_fig4_left,2.404316429370222e+19,572354527.3103489,7001244609.318068,#ab185a,2.73937,2.7780894167931174
chinchilla_fig4_left,2.738309153855871e+19,647836954.8019283,7044748768.855198,#a6195a,2.70578,2.7449912897159163
chinchilla_fig4_left,2.7846676039012758e+19,616873503.4096147,7523605159.755116,#a4195b,2.69744,2.736778556603052
chinchilla_fig4_left,3.682173180819936e+19,796527166.7455841,7704640290.475796,#9f1a5b,2.66436,2.704172606664561
chinchilla_fig4_left,3.2755942147311763e+19,706700033.2571536,7725093298.859505,#a3195b,2.68914,2.724508563490356
chinchilla_fig4_left,5.20815672295069e+19,1115515322.1905503,7781391283.691459,#951c5b,2.59937,2.640121479394902
chinchilla_fig4_left,4.722251503841622e+19,993257812.1035461,7923843212.872597,#9a1b5b,2.63167,2.6719551236587806
chinchilla_fig4_left,4.387189672311031e+19,871001327.0432507,8394915782.742506,#9a1b5b,2.63167,2.6719551236587806
chinchilla_fig4_left,2.8909644604288947e+18,72027117.93784094,6689527831.549462,#e03143,3.19507,3.222268068835837
chinchilla_fig4_left,3.5205195841001984e+18,87631868.52790953,6695660766.720122,#dd2c45,3.15604,3.1838780021322792
chinchilla_fig4_left,5.446454529463119e+18,113873394.0778822,7971505801.9290085,#d2204c,3.04174,3.07143034313885
chinchilla_fig4_left,6.837957485842426e+18,136340031.524328,8358950546.159886,#cb1b4f,2.97694,3.012185078911002
chinchilla_fig4_left,7.998765559773474e+18,158806839.56227192,8394648473.391652,#c51852,2.93147,2.962954091342755
chinchilla_fig4_left,9.988057892487006e+18,170688073.6110205,9752739486.697334,#c21753,2.90453,2.940838357413416
chinchilla_fig4_left,1.1543085401668815e+19,191071866.68621463,10068711842.880653,#bc1656,2.86014,2.8927734567445684
chinchilla_fig4_left,1.575616275430073e+19,244965432.74931124,10719990556.398907,#b51657,2.80776,2.845487739252996
chinchilla_fig4_left,1.8299462983563143e+19,271586468.82723224,11229979573.101273,#b01759,2.77335,2.8115866292955167
chinchilla_fig4_left,2.0332081749366362e+19,298207689.09171045,11363490666.127356,#ab185a,2.73937,2.7780894167931174
chinchilla_fig4_left,1.0141494439717718e+21,12264973779.183525,13781106292.742565,#701f57,2.37644,2.416772019301729
chinchilla_fig4_left,1.0149841194760764e+21,11174796669.934134,15137995339.800352,#6e1f57,2.36178,2.405931333857799
chinchilla_fig4_left,2.9915264084994104e+20,6631102061.065507,7518927173.167155,#821e5a,2.48164,2.5240864505424114
chinchilla_fig4_left,2.9888045867215893e+20,4406679317.500056,11304069615.610853,#761f58,2.41351,2.4569279142530447
chinchilla_fig4_left,6.029219293609714e+20,6631102061.065507,15153889549.798603,#6e1f57,2.36178,2.405931333857799
chinchilla_fig4_left,5.627218224707585e+20,4406679317.500056,21282912518.58081,#6b1f56,2.3472,2.387978623765955
chinchilla_fig4_left,2.9292620535176354e+21,15792027039.3641,30914989002.741604,#591e50,2.24057,2.286445840825226
chinchilla_fig4_left,2.9745797168221163e+21,12264973779.183525,40421063677.970795,#561e4f,2.21982,2.265984744495722
chinchilla_fig4_left,3.019612464712223e+21,11174796669.934134,45036053807.82917,#561e4f,2.21982,2.265984744495722
chinchilla_fig4_left,1.9586690018619474e+20,1958021574.0384593,16672177568.011103,#7b1f59,2.44357,2.486552675770553
